iter	Passed	Remaining
0	1	132
1	2	122
2	3	118
3	4	111
4	5	110
5	6	107
6	8	108
7	9	106
8	10	104
9	12	116
10	14	115
11	15	113
12	16	112
13	17	110
14	19	108
15	20	105
16	21	104
17	22	103
18	23	101
19	25	100
20	26	99
21	27	98
22	29	97
23	30	95
24	31	94
25	32	93
26	33	91
27	35	90
28	36	89
29	37	87
30	39	86
31	40	86
32	41	85
33	43	83
34	44	82
35	45	81
36	46	80
37	48	78
38	49	77
39	50	76
40	52	75
41	52	72
42	54	72
43	56	71
44	57	70
45	58	68
46	59	67
47	61	66
48	62	65
49	63	63
50	64	62
51	66	61
52	67	60
53	69	58
54	69	57
55	71	55
56	72	54
57	73	53
58	75	52
59	76	50
60	77	49
61	79	48
62	80	47
63	81	46
64	83	44
65	84	43
66	85	42
67	86	40
68	88	39
69	89	38
70	90	37
71	92	35
72	93	34
73	94	33
74	96	32
75	97	30
76	98	29
77	99	28
78	101	26
79	102	25
80	103	24
81	104	22
82	105	21
83	107	20
84	108	19
85	110	17
86	111	16
87	112	15
88	114	14
89	115	12
90	117	11
91	119	10
92	120	9
93	121	7
94	123	6
95	124	5
96	126	3
97	128	2
98	129	1
99	131	0
