iter	Passed	Remaining
0	3	3889
1	6	3021
2	8	2690
3	10	2529
4	12	2459
5	14	2401
6	18	2602
7	20	2545
8	22	2436
9	23	2345
10	25	2289
11	27	2229
12	28	2175
13	30	2123
14	34	2274
15	36	2222
16	37	2187
17	39	2148
18	41	2128
19	42	2094
20	44	2068
21	48	2137
22	49	2112
23	51	2107
24	53	2085
25	55	2068
26	57	2059
27	59	2050
28	61	2052
29	64	2080
30	66	2075
31	68	2061
32	70	2053
33	71	2035
34	73	2028
35	75	2022
36	79	2069
37	81	2055
38	82	2039
39	84	2029
40	86	2013
41	87	1998
42	89	1992
43	93	2037
44	95	2030
45	97	2026
46	99	2022
47	101	2016
48	103	2011
49	105	2003
50	109	2035
51	110	2023
52	112	2017
53	115	2031
54	117	2025
55	119	2013
56	123	2038
57	124	2027
58	127	2026
59	128	2016
60	130	2005
61	131	1995
62	133	1984
63	134	1974
64	138	1991
65	140	1983
66	142	1982
67	144	1978
68	146	1970
69	147	1961
70	149	1951
71	150	1942
72	154	1963
73	157	1966
74	158	1957
75	160	1948
76	161	1939
77	163	1931
78	165	1923
79	168	1942
80	173	1967
81	175	1966
82	177	1962
83	179	1956
84	200	2158
85	202	2154
86	204	2149
87	212	2199
88	217	2223
89	219	2217
90	221	2210
91	223	2204
92	225	2198
93	227	2192
94	231	2202
95	233	2194
96	234	2184
97	236	2174
98	237	2164
99	239	2155
100	241	2146
101	242	2138
102	247	2154
103	249	2145
104	251	2141
105	253	2136
106	255	2130
107	257	2125
108	272	2226
109	281	2277
110	283	2272
111	285	2266
112	287	2259
113	290	2261
114	294	2265
115	299	2282
116	301	2278
117	303	2269
118	305	2263
119	310	2273
120	312	2268
121	313	2258
122	315	2252
123	318	2247
124	320	2242
125	324	2251
126	326	2242
127	327	2233
128	329	2225
129	331	2216
130	333	2210
131	334	2202
132	336	2193
133	340	2198
134	341	2191
135	343	2182
136	345	2173
137	347	2168
138	348	2161
139	350	2153
140	352	2145
141	354	2144
142	356	2138
143	358	2131
144	360	2123
145	362	2117
146	363	2110
147	365	2102
148	366	2095
149	370	2100
150	372	2093
151	373	2086
152	376	2082
153	378	2081
154	380	2076
155	386	2089
156	389	2092
157	395	2105
158	397	2100
159	401	2108
160	402	2098
161	404	2094
162	407	2092
163	409	2088
164	411	2083
165	413	2078
166	417	2082
167	419	2076
168	422	2075
169	424	2070
170	426	2065
171	428	2060
172	431	2062
173	433	2057
174	436	2057
175	438	2052
176	440	2049
177	442	2044
178	445	2042
179	447	2039
180	450	2038
181	452	2034
182	454	2029
183	456	2024
184	459	2022
185	481	2105
186	483	2101
187	485	2096
188	487	2089
189	489	2088
190	493	2091
191	497	2092
192	499	2087
193	504	2097
194	507	2094
195	512	2102
196	514	2098
197	517	2097
198	519	2092
199	522	2091
200	529	2102
201	530	2096
202	532	2090
203	534	2087
204	537	2085
205	542	2091
206	545	2090
207	549	2091
208	551	2086
209	553	2082
210	560	2095
211	562	2090
212	564	2087
213	567	2083
214	569	2077
215	592	2149
216	594	2144
217	597	2143
218	599	2138
219	605	2146
220	607	2140
221	611	2142
222	613	2136
223	615	2132
224	621	2139
225	622	2133
226	624	2126
227	626	2120
228	629	2118
229	630	2111
230	635	2114
231	641	2123
232	643	2118
233	646	2115
234	659	2148
235	661	2142
236	666	2145
237	668	2140
238	670	2134
239	671	2127
240	673	2121
241	675	2115
242	677	2109
243	681	2112
244	684	2109
245	686	2104
246	689	2103
247	691	2096
248	695	2096
249	696	2090
250	698	2083
251	699	2077
252	701	2072
253	703	2066
254	705	2060
255	706	2053
256	710	2054
257	712	2048
258	714	2042
259	716	2038
260	717	2032
261	719	2026
262	721	2020
263	722	2015
264	727	2016
265	729	2011
266	731	2007
267	732	2001
268	734	1996
269	736	1991
270	738	1985
271	740	1980
272	742	1977
273	744	1972
274	746	1967
275	747	1961
276	749	1956
277	751	1951
278	753	1947
279	755	1941
280	757	1937
281	759	1932
282	765	1938
283	769	1941
284	772	1939
285	774	1934
286	778	1934
287	783	1937
288	786	1934
289	788	1931
290	791	1927
291	793	1923
292	812	1960
293	817	1962
294	819	1958
295	821	1953
296	823	1949
297	825	1944
298	827	1940
299	832	1941
300	834	1937
301	836	1932
302	838	1928
303	840	1924
304	842	1920
305	848	1925
306	850	1919
307	852	1914
308	853	1909
309	855	1904
310	857	1899
311	858	1894
312	863	1894
313	864	1889
314	866	1884
315	868	1879
316	870	1874
317	871	1870
318	873	1865
319	879	1867
320	881	1865
321	884	1862
322	886	1857
323	887	1852
324	891	1851
325	894	1849
326	896	1845
327	899	1841
328	902	1841
329	904	1837
330	907	1833
331	909	1829
332	911	1824
333	912	1819
334	914	1814
335	915	1809
336	920	1811
337	922	1806
338	924	1802
339	926	1797
340	927	1793
341	929	1788
342	932	1785
343	937	1787
344	939	1783
345	940	1778
346	942	1773
347	944	1769
348	945	1764
349	948	1760
350	952	1760
351	953	1755
352	955	1751
353	957	1746
354	959	1742
355	960	1738
356	962	1733
357	966	1733
358	968	1729
359	970	1724
360	971	1720
361	973	1716
362	976	1713
363	978	1709
364	983	1710
365	985	1706
366	987	1702
367	989	1698
368	991	1695
369	993	1692
370	998	1692
371	1001	1689
372	1002	1685
373	1004	1681
374	1007	1678
375	1009	1674
376	1013	1674
377	1014	1669
378	1016	1665
379	1018	1661
380	1020	1658
381	1022	1653
382	1023	1649
383	1027	1648
384	1029	1644
385	1031	1640
386	1032	1635
387	1034	1631
388	1035	1627
389	1037	1622
390	1039	1618
391	1043	1618
392	1045	1614
393	1047	1611
394	1050	1608
395	1052	1605
396	1054	1602
397	1059	1602
398	1061	1598
399	1063	1594
400	1065	1592
401	1067	1588
402	1069	1584
403	1074	1584
404	1076	1580
405	1077	1576
406	1079	1573
407	1081	1569
408	1083	1565
409	1085	1561
410	1089	1560
411	1091	1557
412	1095	1556
413	1099	1555
414	1101	1552
415	1106	1552
416	1108	1550
417	1112	1549
418	1115	1547
419	1117	1543
420	1121	1541
421	1123	1538
422	1125	1535
423	1127	1531
424	1129	1528
425	1134	1528
426	1136	1524
427	1139	1522
428	1141	1519
429	1143	1515
430	1152	1521
431	1155	1519
432	1157	1515
433	1165	1520
434	1168	1517
435	1171	1515
436	1173	1512
437	1187	1523
438	1190	1520
439	1192	1517
440	1196	1517
441	1198	1513
442	1201	1510
443	1203	1506
444	1208	1506
445	1214	1508
446	1215	1504
447	1217	1500
448	1220	1498
449	1222	1494
450	1224	1490
451	1228	1489
452	1230	1485
453	1232	1481
454	1233	1478
455	1235	1474
456	1237	1470
457	1238	1466
458	1243	1465
459	1245	1462
460	1247	1458
461	1248	1454
462	1250	1450
463	1252	1446
464	1254	1442
465	1257	1441
466	1259	1437
467	1261	1433
468	1262	1429
469	1264	1426
470	1266	1422
471	1268	1419
472	1270	1415
473	1274	1414
474	1275	1410
475	1277	1406
476	1279	1402
477	1280	1398
478	1282	1395
479	1284	1391
480	1288	1390
481	1290	1386
482	1292	1382
483	1293	1379
484	1295	1375
485	1297	1372
486	1299	1368
487	1300	1364
488	1304	1362
489	1306	1359
490	1308	1356
491	1310	1353
492	1316	1353
493	1320	1352
494	1321	1348
495	1323	1345
496	1325	1341
497	1327	1337
498	1328	1334
499	1331	1331
500	1335	1330
501	1337	1326
502	1339	1323
503	1341	1319
504	1342	1316
505	1344	1312
506	1346	1309
507	1350	1307
508	1352	1304
509	1353	1300
510	1355	1297
511	1357	1294
512	1360	1291
513	1362	1288
514	1364	1285
515	1366	1281
516	1369	1279
517	1371	1276
518	1373	1273
519	1375	1269
520	1379	1267
521	1380	1264
522	1382	1261
523	1384	1257
524	1385	1253
525	1387	1250
526	1389	1246
527	1397	1249
528	1399	1246
529	1402	1243
530	1404	1240
531	1405	1236
532	1409	1234
533	1411	1232
534	1413	1228
535	1415	1225
536	1416	1221
537	1418	1218
538	1420	1214
539	1421	1211
540	1423	1207
541	1425	1204
542	1426	1200
543	1428	1197
544	1430	1194
545	1432	1190
546	1433	1187
547	1437	1185
548	1439	1182
549	1441	1179
550	1442	1175
551	1444	1172
552	1446	1168
553	1447	1165
554	1449	1162
555	1453	1160
556	1454	1157
557	1456	1153
558	1458	1150
559	1459	1146
560	1461	1143
561	1463	1140
562	1464	1136
563	1468	1135
564	1470	1132
565	1474	1130
566	1476	1127
567	1478	1124
568	1483	1123
569	1485	1120
570	1487	1117
571	1489	1114
572	1491	1111
573	1493	1108
574	1502	1110
575	1504	1107
576	1508	1105
577	1510	1102
578	1522	1106
579	1524	1103
580	1527	1101
581	1529	1098
582	1531	1095
583	1533	1092
584	1534	1088
585	1536	1085
586	1537	1081
587	1539	1079
588	1544	1077
589	1547	1075
590	1550	1072
591	1552	1070
592	1555	1067
593	1559	1065
594	1561	1062
595	1562	1059
596	1564	1056
597	1566	1053
598	1568	1049
599	1570	1046
600	1573	1044
601	1575	1041
602	1577	1038
603	1578	1035
604	1580	1031
605	1582	1028
606	1584	1025
607	1586	1022
608	1590	1020
609	1592	1017
610	1594	1014
611	1596	1011
612	1598	1009
613	1600	1006
614	1602	1002
615	1606	1001
616	1607	998
617	1609	994
618	1611	991
619	1614	989
620	1616	986
621	1617	983
622	1619	980
623	1621	976
624	1622	973
625	1624	970
626	1626	967
627	1628	964
628	1630	961
629	1634	959
630	1635	956
631	1637	953
632	1639	950
633	1641	947
634	1643	944
635	1644	941
636	1648	939
637	1650	936
638	1652	933
639	1654	930
640	1656	927
641	1657	924
642	1659	921
643	1660	918
644	1664	916
645	1666	913
646	1668	910
647	1671	907
648	1672	904
649	1674	901
650	1676	898
651	1680	896
652	1682	893
653	1684	890
654	1686	888
655	1688	885
656	1690	882
657	1691	879
658	1693	876
659	1697	874
660	1708	876
661	1713	874
662	1715	872
663	1717	869
664	1719	866
665	1723	864
666	1725	861
667	1727	858
668	1728	855
669	1730	852
670	1732	849
671	1733	846
672	1735	843
673	1738	841
674	1740	838
675	1742	835
676	1743	832
677	1745	829
678	1747	826
679	1748	823
680	1750	820
681	1754	818
682	1756	815
683	1758	812
684	1759	809
685	1761	806
686	1763	803
687	1764	800
688	1766	797
689	1770	795
690	1772	792
691	1774	789
692	1775	786
693	1777	783
694	1779	780
695	1780	777
696	1784	775
697	1786	772
698	1788	770
699	1790	767
700	1793	764
701	1795	761
702	1796	759
703	1800	757
704	1802	754
705	1803	751
706	1805	748
707	1807	745
708	1808	742
709	1810	739
710	1812	736
711	1816	734
712	1817	731
713	1819	728
714	1821	725
715	1822	722
716	1824	719
717	1825	717
718	1830	715
719	1831	712
720	1833	709
721	1835	706
722	1836	703
723	1838	700
724	1840	698
725	1842	695
726	1845	693
727	1847	690
728	1849	687
729	1850	684
730	1852	681
731	1854	678
732	1856	676
733	1859	674
734	1861	671
735	1863	668
736	1864	665
737	1866	662
738	1867	659
739	1870	657
740	1872	654
741	1876	652
742	1878	649
743	1880	647
744	1882	644
745	1886	642
746	1891	640
747	1893	637
748	1894	634
749	1896	632
750	1898	629
751	1900	626
752	1901	623
753	1903	620
754	1907	618
755	1908	616
756	1910	613
757	1912	610
758	1914	607
759	1915	605
760	1917	602
761	1921	600
762	1922	597
763	1924	594
764	1927	591
765	1929	589
766	1932	587
767	1937	585
768	1939	582
769	1943	580
770	1944	577
771	1946	574
772	1948	572
773	1952	570
774	1953	567
775	1955	564
776	1957	561
777	1958	558
778	1960	556
779	1962	553
780	1963	550
781	1967	548
782	1969	545
783	1971	543
784	1973	540
785	1974	537
786	1976	534
787	1978	532
788	1979	529
789	1984	527
790	1986	524
791	1988	522
792	1992	519
793	1994	517
794	1997	515
795	1999	512
796	2001	509
797	2003	507
798	2004	504
799	2006	501
800	2008	498
801	2009	496
802	2014	494
803	2015	491
804	2017	488
805	2019	485
806	2020	483
807	2022	480
808	2024	477
809	2025	475
810	2028	472
811	2030	470
812	2031	467
813	2033	464
814	2035	461
815	2036	459
816	2038	456
817	2042	454
818	2044	451
819	2046	449
820	2048	446
821	2049	443
822	2051	441
823	2053	438
824	2057	436
825	2058	433
826	2060	431
827	2062	428
828	2063	425
829	2065	423
830	2067	420
831	2068	417
832	2072	415
833	2074	412
834	2077	410
835	2079	407
836	2082	405
837	2084	402
838	2089	400
839	2091	398
840	2092	395
841	2095	393
842	2097	390
843	2099	388
844	2104	386
845	2106	383
846	2108	380
847	2110	378
848	2120	377
849	2123	374
850	2125	372
851	2127	369
852	2130	367
853	2136	365
854	2138	362
855	2139	359
856	2141	357
857	2144	354
858	2146	352
859	2151	350
860	2152	347
861	2154	344
862	2156	342
863	2157	339
864	2159	337
865	2161	334
866	2164	332
867	2166	329
868	2168	326
869	2170	324
870	2174	322
871	2176	319
872	2179	317
873	2181	314
874	2183	311
875	2185	309
876	2186	306
877	2188	304
878	2190	301
879	2192	298
880	2196	296
881	2197	294
882	2199	291
883	2201	288
884	2203	286
885	2204	283
886	2206	281
887	2209	278
888	2211	276
889	2213	273
890	2215	270
891	2216	268
892	2218	265
893	2220	263
894	2221	260
895	2225	258
896	2227	255
897	2229	253
898	2230	250
899	2232	248
900	2234	245
901	2236	242
902	2237	240
903	2239	237
904	2241	235
905	2242	232
906	2245	230
907	2246	227
908	2248	225
909	2250	222
910	2253	220
911	2255	217
912	2257	215
913	2258	212
914	2260	209
915	2262	207
916	2263	204
917	2265	202
918	2270	200
919	2272	197
920	2274	195
921	2277	192
922	2279	190
923	2281	187
924	2285	185
925	2287	182
926	2288	180
927	2290	177
928	2292	175
929	2293	172
930	2295	170
931	2300	167
932	2302	165
933	2304	162
934	2306	160
935	2308	157
936	2309	155
937	2311	152
938	2318	150
939	2321	148
940	2334	146
941	2336	143
942	2338	141
943	2340	138
944	2342	136
945	2347	134
946	2349	131
947	2351	129
948	2353	126
949	2355	123
950	2358	121
951	2363	119
952	2366	116
953	2368	114
954	2370	111
955	2372	109
956	2377	106
957	2379	104
958	2381	101
959	2383	99
960	2385	96
961	2387	94
962	2389	91
963	2398	89
964	2399	87
965	2401	84
966	2403	82
967	2405	79
968	2408	77
969	2409	74
970	2411	72
971	2412	69
972	2414	67
973	2416	64
974	2418	62
975	2422	59
976	2424	57
977	2425	54
978	2427	52
979	2429	49
980	2431	47
981	2432	44
982	2436	42
983	2437	39
984	2439	37
985	2441	34
986	2442	32
987	2444	29
988	2446	27
989	2448	24
990	2452	22
991	2455	19
992	2457	17
993	2460	14
994	2462	12
995	2463	9
996	2468	7
997	2470	4
998	2472	2
999	2475	0
